name	ratio	min	max	phase
Trichococcus flocculiformis-A0A143Y4H9	-2.6299990818265	-9.65804	3.49125	light
Slackia heliotrinireducens (strain ATCC 29202 / DSM 20476 / NCTC 11029 / RHS 1) (Peptococcus heliotrinreducens)-C7N5S0	-2.7755691267345	-9.58495	3.6731	light
Clostridium butyricum-A0A7G5NW85	-2.214304521925	-9.52743	4.72254	light
Enterococcus cecorum-A0A7X9RL84	1.516914641892	-2.59191	5.52074	light
Bacillus subtilis subsp. globigii-A0A7U5D3J7	-4.02043077047501	-10.2493	1.38835	light
Bacteroides fragilis str. 3774 T13-A0A829SCA4	-2.6030361841605	-10.3375	4.60347	light
Ruminococcus gnavus (strain ATCC 29149 / VPI C7-9)-A7AYV0	0.980022053995002	-0.613942	2.6887	light
Ectothiorhodospira haloalkaliphila-W8KQG4	-2.529200940075	-10.0595	4.73453	light
Prevotella ruminicola (Bacteroides ruminicola)-A0A1M6USS9	-2.505154280295	-9.41386	4.18981	light
Micromonospora echinaurantiaca-A0A1C5HYL1	-3.70349765723	-10.05	1.62241	light
Gordonia desulfuricans-A0A7K3LTM0	-2.544229696251	-9.499	4.72845	light
Faecalibaculum rodentium-A0A1Q9YLM7	1.1990542514034	-1.28957	3.60596	light
