FeatureID	cFA01a	cFA01b	cFA05a	cFA05b	cFA09a	cFA09b	cFT01a	cFT01b	cFT05a	cFT05b	cFT09a	cFT09b
PF02163.25	8	33	4	9	7	38	6	3	17	10	8	21
PF17820.4	1	13	1	4	5	17	2	3	10	3	4	7
PF02739.19	1	10	1	9	6	4	2	0	7	5	5	13
PF01367.23	1	10	1	9	6	4	2	0	7	5	5	13
PF00476.23	1	10	2	8	7	4	2	0	7	5	7	13
PF01527.23	4	5	3	4	1	8	2	1	7	1	4	5
PF00889.22	8	47	4	21	38	54	3	5	22	17	7	42
PF00318.23	7	28	2	30	18	55	16	9	15	28	6	38
PF00465.22	16	44	4	30	11	51	25	30	19	21	8	40
PF13180.9	6	24	5	14	9	30	7	3	9	8	6	18
PF05362.16	3	15	0	10	5	21	2	3	3	7	5	12
PF00342.22	12	29	3	19	14	38	15	10	15	27	22	44
PF10458.12	0	8	1	7	9	12	2	2	5	8	3	10
PF01938.23	1	3	2	1	6	9	2	1	2	5	1	1
PF05958.14	1	2	0	2	5	16	2	1	1	4	0	5
PF01418.20	5	11	0	5	3	17	3	11	3	6	2	4
PF01380.25	32	90	1	35	19	113	25	25	13	23	6	13
PF02673.21	1	3	0	2	1	3	0	0	2	0	2	0
PF13177.9	5	38	3	18	7	22	4	15	10	13	9	15
PF03951.22	1	13	1	5	3	10	1	2	6	3	0	5
PF00120.27	2	17	3	11	5	18	5	3	9	4	4	12
PF01330.24	2	2	0	0	2	2	0	1	0	2	0	0
PF14520.9	2	34	3	5	6	39	5	11	3	5	0	3
PF07499.16	2	2	0	0	2	2	0	1	0	2	0	0
PF01624.23	10	6	16	37	90	8	2	5	38	17	15	25
PF05188.20	0	5	3	3	6	8	2	3	1	4	1	3
PF05192.21	0	5	3	3	6	8	2	3	1	4	1	3
PF05190.21	0	5	3	3	6	8	2	3	1	4	1	3
PF00488.24	1	17	5	11	13	25	6	5	5	11	2	5
PF03446.18	0	2	0	1	1	0	1	0	0	4	1	1
PF14833.9	0	2	0	1	0	0	1	0	0	3	1	0
PF01925.22	0	2	1	0	0	3	0	0	0	0	1	1
PF00226.34	4	13	0	8	9	29	3	8	6	7	3	11
PF01556.21	4	10	0	7	9	23	3	5	5	6	2	7
PF00684.22	4	10	0	7	9	23	3	5	5	6	2	7
PF13537.9	3	13	2	6	7	14	1	3	6	8	12	17
PF00733.24	1	14	2	3	2	11	1	2	1	3	5	11
PF05257.19	1	6	2	3	4	2	1	0	1	2	10	3
PF13545.9	0	4	0	1	3	5	2	1	0	0	1	3
PF01869.23	7	19	2	5	7	31	4	6	7	14	5	8
PF09989.12	2	6	0	1	1	14	1	1	2	6	2	2
PF06050.16	17	24	2	42	10	47	19	21	15	20	6	20
PF00440.26	3	35	0	12	9	38	6	7	17	8	8	21
PF14278.9	0	2	1	1	0	1	1	1	1	3	1	1
PF17191.7	0	2	4	1	2	3	1	2	4	1	1	6
PF19833.2	0	3	4	1	2	3	1	2	5	1	2	6
PF09182.13	0	0	0	0	0	0	0	0	0	0	1	0
PF03764.21	143	359	38	303	249	500	117	177	192	237	92	333
PF06800.15	0	0	0	0	1	0	0	0	0	0	0	0
PF06962.15	0	0	1	0	1	0	0	0	1	0	0	0
PF13167.9	7	6	0	7	3	5	1	4	5	2	3	5
PF16360.8	7	6	0	7	3	5	1	4	5	2	3	5
PF01467.29	4	9	2	3	5	15	7	7	3	10	5	4
PF13649.9	6	9	3	3	5	15	4	12	5	3	6	3
PF05636.14	1	0	0	1	0	2	0	0	0	1	1	0
PF01709.23	2	6	0	7	3	13	5	2	4	3	4	6
