FeatureID	FA4b	FA4c	FA5b	FA5c	FA6b	FA6c	FA1b	FA1c	FA2b	FA2c	FA3b	FA3c
PF02896.21	847.216	708.468	715.908	821.698	787.213	692.493	720.703	704.283	621.526	1018.592	776.526	555.354
PF00977.24	434.439	517.911	584.309	489.307	602.806	379.538	527.341	467.647	524.065	492.218	437.684	293.566
PF02811.22	1244.938	1171.044	1611	1721.859	1429.516	1253.781	1148.207	1321.201	845.001	1800.807	1473.033	1651.676
PF17773.4	0	0	0	0	0	0	0	0	0	0	0	0
PF00581.23	508.747	558.326	367.904	369.324	444.666	382.097	216.634	501.876	233.31	283.543	380.173	385.624
PF12368.11	0	0	0	0	0	0	0	0	0	0	0	0
PF00180.23	346.916	115.644	241.435	460.175	500.687	269.426	305.527	571.637	222.01	714.728	406.011	634.69
PF01195.22	109.935	0	234.225	180.359	285.909	112.842	444.32	135.934	83.827	0	298.415	169.877
PF00920.24	259.361	603.275	256.26	289.936	229.957	332.256	43.881	334.049	115.794	205.655	157.566	204.958
PF07991.15	244.275	370.35	276.781	314.116	269.097	355.95	214.555	102.463	126.159	235.588	246.808	192.286
PF01450.22	244.275	370.35	276.781	314.116	269.097	355.95	214.555	102.463	126.159	235.588	246.808	192.286
PF00291.28	1048.726	540.7	1082.411	1077.715	1055.802	1102.87	733.798	1022.02	772.569	876.1	838.98	681.416
PF00585.21	0	0	0	0	0	0	0	10.426	0	0	0	0
PF01131.23	839.268	813.033	860.333	686.626	768.082	777.844	1217.549	1130.434	781.921	696.671	934.31	1040.3
PF01396.22	538.265	121.624	796.997	631.885	623.652	688.227	831.044	592.49	335.985	588.85	793.518	659.986
PF02575.19	0	358.704	397.272	147.158	0	263.71	0	148.71	366.084	0	65.201	0
PF01134.25	359.446	198.175	288.42	339.17	244.326	179.553	269.671	239.794	118.176	429.022	284.283	447.248
PF13495.9	1338.228	1462.262	897.623	753.946	780.31	1163.418	741.348	921.919	637.106	599.8	707.309	430.906
PF00589.25	6551.906	6003.158	7358.255	6084.393	6142.557	6495.249	8464.078	7744.493	9111.111	7109.172	5673.976	5484.622
PF05222.18	0	0	0	0	0	22.927	78.461	0	0	0	0	0
PF01262.24	0	0	0	0	0	22.927	78.461	0	0	0	0	0
PF03780.16	433.878	456.154	432.867	311.138	527.627	228.712	381.508	329.064	0	656.577	667.488	131.175
PF01325.22	170.31	576.268	560.952	567.656	503.253	351.578	398.652	481.61	759.515	558.161	541.55	382.663
PF02742.18	0	320.366	146.041	331.119	428.266	118.494	0	267.693	627.578	0	292.968	248.993
PF00690.29	247.111	317.281	302.68	280.569	177.683	313.573	266.68	233.426	217.616	123.235	179.639	252.614
PF00702.29	1002.596	1489.773	1127.023	976.12	1209.249	1588.191	1340.803	1232.257	1257.602	819.838	1083.763	827.979
PF03062.22	1135.097	836.262	1225.875	1082.216	1159.761	1251.456	548.278	1009.206	761.463	1044.887	971.373	1343.016
PF00501.31	640.563	347.561	556.602	583.534	562.732	544.546	496.846	514.834	405.632	947.398	338.487	425.695
PF13193.9	127.421	153.73	253.605	283.088	310.172	208.558	200.511	175.161	179.726	607.489	194.023	237.373
PF07690.19	1975.954	1651.435	1837.225	1706.665	1468.739	1679.556	1269.163	1348.644	1141.76	1401.993	1454.988	1249.956
PF08543.15	454.887	150.394	367.904	207.552	213.872	415.41	446.399	459.896	277.509	335.343	357.596	589.065
PF16320.8	0	335.726	452.992	324.349	294.568	113.738	197.703	383.336	515.776	0	152.566	391.421
PF00542.22	0	335.726	452.992	324.349	294.568	113.738	197.703	383.336	515.776	0	152.566	391.421
PF00466.23	508.903	695.248	286.804	201.379	243.186	0	531.973	140.319	132.211	496.2	264.659	613.798
PF00717.26	100.864	0	73.133	205.622	66.616	243.705	236.076	132.294	104.172	111.083	148.126	0
PF00764.22	304.962	51.306	350.897	289.979	425.302	173.902	119.497	362.3	288.856	223.814	336.302	199.576
