FeatureID	FT4b	FT4c	FT5b	FT5c	FT6b	FT6c	FT1b	FT1c	FT2b	FT2c	FT3b	FT3c
PF01174.22	212.505	173.872	0	0	255.773	125.122	402.662	160.408	273.802	0	0	170.583
PF14279.9	0	0	0	0	0	0	0	0	0	0	0	0
PF05183.15	129.469	107.372	71.884	73.185	214.512	166.176	120.09	97.696	147.564	113.215	0	268.479
PF01810.21	134.423	92.015	0	331.631	0	46.547	0	0	39.343	0	0	158.204
PF13577.9	0	40.327	0	0	0	19.958	0	0	32.808	946.954	0	0
PF14534.9	0	0	0	0	0	0	0	0	0	0	0	0
PF06353.15	0	48.516	0	0	0	0	0	0	0	0	0	0
PF20573.1	0	0	0	0	0	0	0	0	0	0	0	0
PF20040.2	0	133.083	0	0	0	0	0	0	0	0	0	0
PF13676.9	0	63.37	0	0	0	0	0	0	0	0	0	0
PF18427.4	0	0	0	0	0	0	0	0	0	0	0	0
PF08841.13	0	0	0	0	0	0	0	0	0	0	0	0
PF02286.18	0	0	0	0	0	0	0	0	0	0	0	28.474
PF11580.11	107.884	268.346	269.401	0	201.027	342.922	118.484	122.086	244.054	203.188	0	64.924
