mouseid	condition	cageid	weight	week
NA7a	NA	7a	28.9	7
NA7b	NA	7b	27.7	7
NA7c	NA	7c	29.3	7
NA8a	NA	8a	32.7	7
NA8b	NA	8b	31.5	7
NA8c	NA	8c	30.8	7
NT1a	NT	1a	27.5	7
NT1b	NT	1b	27.3	7
NT1c	NT	1c	26.8	7
NT2a	NT	2a	21.7	7
NT2b	NT	2b	25.8	7
NT2c	NT	2c	26.4	7
NT3a	NT	3a	25.7	7
NT3b	NT	3b	27.0	7
NT3c	NT	3c	25.4	7
NT4a	NT	4a	27.3	7
NT4b	NT	4b	26.9	7
NT4c	NT	4c	26.3	7
NT5a	NT	5a	26.1	7
NT5b	NT	5b	25.5	7
NT5c	NT	5c	28.6	7
NT6a	NT	6a	26.7	7
NT6b	NT	6b	27.7	7
NT6c	NT	6c	25.5	7
NT7a	NT	7a	24.7	7
NT7b	NT	7b	27.1	7
NT7c	NT	7c	26.2	7
NT8a	NT	8a	23.2	7
NT8b	NT	8b	24.8	7
NT8c	NT	8c	25.0	7
FA1a	FA	1a	47.9	8
FA1b	FA	1b	44.1	8
FA1c	FA	1c	46.0	8
FA2a	FA	2a	43.4	8
FA2b	FA	2b	42.6	8
FA2c	FA	2c	43.0	8
FA3a	FA	3a	47.0	8
FA3b	FA	3b	34.7	8
FA3c	FA	3c	36.7	8
FA4a	FA	4a	44.1	8
FA4b	FA	4b	42.8	8
FA4c	FA	4c	41.1	8
FA5a	FA	5a	41.8	8
FA5b	FA	5b	35.7	8
FA5c	FA	5c	35.4	8
FA6a	FA	6a	38.2	8
FA6b	FA	6b	40.5	8
FA6c	FA	6c	41.1	8
FA7a	FA	7a	38.4	8
FA7b	FA	7b	31.8	8
FA7c	FA	7c	29.3	8
FA8a	FA	8a	37.0	8
FA8b	FA	8b	36.3	8
FA8c	FA	8c	38.0	8
FT1a	FT	1a	31.3	8
FT1b	FT	1b	34.6	8
FT1c	FT	1c	32.5	8
FT2a	FT	2a	33.6	8
FT2b	FT	2b	34.3	8
FT2c	FT	2c	32.8	8
FT3a	FT	3a	29.9	8
FT3b	FT	3b	28.5	8
FT3c	FT	3c	34.1	8
FT4a	FT	4a	30.0	8
FT4b	FT	4b	29.3	8
FT4c	FT	4c	29.2	8
FT5a	FT	5a	32.3	8
